[0.000000] (-) TimerEvent: {}
[0.000134] (-) JobUnselected: {'identifier': 'arm_checker'}
[0.000165] (-) JobUnselected: {'identifier': 'cpp_parameters'}
[0.000184] (-) JobUnselected: {'identifier': 'cpp_pub'}
[0.000200] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000215] (-) JobUnselected: {'identifier': 'my_first_pkg'}
[0.000231] (-) JobUnselected: {'identifier': 'my_package'}
[0.000246] (-) JobUnselected: {'identifier': 'parameter_handler1'}
[0.000264] (-) JobUnselected: {'identifier': 'polygon_base'}
[0.000279] (-) JobUnselected: {'identifier': 'polygon_plugins'}
[0.000296] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.000311] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.000326] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.000342] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.000357] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.000372] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.000387] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.000402] (-) JobUnselected: {'identifier': 'static_broadcast'}
[0.000418] (-) JobUnselected: {'identifier': 'tut_interfaces'}
[0.000656] (-) EventReactorShutdown: {}
